,%time,seconds,usecs/call,calls,errors,syscall
0,0.00,0.000000,0,3,0,read
1,0.00,0.000000,0,1,0,write
2,0.00,0.000000,0,6,0,close
3,0.00,0.000000,0,5,0,fstat
4,0.00,0.000000,0,9,0,mmap
5,0.00,0.000000,0,4,0,mprotect
6,0.00,0.000000,0,2,0,munmap
7,0.00,0.000000,0,3,0,brk
8,0.00,0.000000,0,6,0,pread64
9,0.00,0.000000,0,1,1,access
10,0.00,0.000000,0,1,0,execve
11,0.00,0.000000,0,2,1,arch_prctl
12,0.00,0.000000,0,1,0,fadvise64
13,0.00,0.000000,0,4,0,openat
