,%time,seconds,usecs/call,calls,errors,syscall
0,20.18,0.000202,50,4,0,mprotect
1,19.28,0.000193,24,8,0,mmap
2,12.39,0.000124,24,5,0,close
3,11.59,0.000116,19,6,0,pread64
4,8.99,0.000090,30,3,0,brk
5,8.59,0.000086,21,4,0,fstat
6,6.99,0.000070,70,1,0,write
7,5.00,0.000050,25,2,1,arch_prctl
8,4.80,0.000048,48,1,0,munmap
9,2.20,0.000022,7,3,0,openat
10,0.00,0.000000,0,1,0,read
11,0.00,0.000000,0,1,1,access
12,0.00,0.000000,0,1,0,execve
